cliente_id,nome,email,idade,cidade,estado,data_ultima_compra,total_gasto,frequencia_compras,forma_pagamento,satisfacao,cliente_ativo
22,Laurie Wallace,ystewart@yahoo.com,42,Douglasmouth,HI,2025-02-08,2863.92,9,Débito,3,False
23,Janice Johnston,victoria28@rojas.com,35,Port Nathanville,MS,2024-09-28,4788.97,17,Pix,4,True
24,Collin Lopez,hoffmanandrew@hubbard.com,55,Jennifertown,AR,2024-05-21,656.08,6,Boleto,5,True
25,Mary Alvarez,elizabeth10@gmail.com,43,West Sethmouth,MI,2024-05-21,1433.92,9,Débito,3,True
26,Peter Mcdowell,stephanie89@rollins.com,31,North Nicholas,CA,2024-11-20,502.08,24,Pix,2,True
27,Sarah Villanueva,blackwelljoann@hernandez-harris.org,26,Garciachester,NE,2024-04-28,3849.83,22,Boleto,5,False
28,Kimberly Myers,karen47@mills-henry.com,27,Port Jeromeside,TN,2024-05-08,206.27,23,Débito,4,True
29,Desiree Cain,vmoody@yahoo.com,38,Richmondborough,MT,2024-10-25,772.53,6,Crédito,3,True
30,Stephanie Lawrence,wbraun@yahoo.com,69,Lake Kendraview,MI,2024-11-06,1377.08,24,Crédito,3,True
31,Lauren Hayes,maryreeves@powell-stevenson.com,34,New Devinview,MA,2024-05-02,4368.3,5,Pix,2,True
32,Whitney Stark,klee@everett.com,69,North Chris,NE,2025-02-24,979.11,12,Crédito,1,False
33,Angela Salazar,dorismartinez@hamilton.com,23,North Jason,MI,2024-03-30,2223.07,3,Pix,3,True
34,Mr. Ryan Sanchez,warnervirginia@sharp.com,33,Smithfurt,UT,2025-01-16,1693.08,7,Débito,4,False
35,Autumn Robinson,michael16@martinez-berry.net,65,Jasonland,DE,2024-11-04,2958.68,7,Crédito,3,False
36,Faith Cabrera,kathrynhudson@mitchell.com,18,New Amandaview,TX,2024-07-08,4688.69,13,Pix,5,True
37,Charles Wolfe,gregorywatts@sparks-nguyen.info,36,South Ryanborough,OH,2025-01-12,4709.83,18,Boleto,2,True
38,Kenneth Kent,websterrandy@gmail.com,53,Riverachester,DE,2024-11-13,357.29,17,Débito,4,False
39,Melanie Johnson,ryan35@lawrence-murphy.info,42,South Jocelynhaven,VA,2024-07-14,3021.43,6,Crédito,4,False
40,Lisa Johnston,john05@yahoo.com,67,North Albertport,MT,2024-06-13,4469.82,1,Crédito,1,False
41,Jacob Hooper,castrosherry@conner.com,69,North Kyle,CO,2025-01-30,3926.56,11,Pix,5,True
42,Alex Woodward,erin71@fuentes-nelson.com,47,South Christine,DE,2024-11-12,1136.52,18,Boleto,3,True
43,Caleb Clark,ztrevino@shepherd-anderson.com,37,West Anna,CA,2024-06-07,3848.47,13,Crédito,4,True
44,Taylor Johnson,catherine77@gmail.com,37,Hoodshire,KY,2024-11-16,1026.41,5,Pix,4,True
45,Brian Green,robertjohnson@gmail.com,32,Jennifertown,NH,2024-05-07,4503.92,11,Crédito,4,True
46,Matthew Bell,fisherkatherine@kane-mclean.com,57,New Katrinashire,DC,2024-05-08,143.76,2,Débito,4,False
47,Jonathan Williams,david85@hotmail.com,50,Ryanhaven,AL,2024-07-22,542.14,10,Crédito,2,False
48,William Gonzalez,davisdaniel@fritz-robbins.com,19,South Robert,WY,2024-04-25,3134.0,17,Pix,5,True
49,Nicholas Massey,wrivera@king.com,27,Christineview,ME,2024-12-18,1973.96,14,Pix,5,True
50,Caroline Chambers,ohamilton@hotmail.com,50,West Laurenstad,OH,2024-11-13,573.16,20,Pix,5,True
51,Amy Lowe,boydcaitlin@yahoo.com,49,West Matthew,VA,2024-05-06,4926.17,10,Boleto,4,False
52,Gloria King,stephaniehart@yahoo.com,28,Seanchester,CT,2025-02-20,4493.25,13,Boleto,3,True
53,Jessica Thompson,jessicacampbell@gomez.com,41,Port Jennifer,TN,2025-03-01,1428.46,13,Débito,4,True
54,Jason Carroll,jennifer92@yahoo.com,53,Housestad,CO,2024-08-27,2418.63,20,Crédito,4,True
55,Emily Howard,morrowsara@miller-rhodes.com,29,Jacobshire,KS,2024-04-16,2450.79,12,Boleto,2,True
56,Danielle Castro,mariochavez@moran.com,68,Thompsonchester,VA,2024-05-22,2591.11,17,Crédito,5,True
57,Patrick Rogers,nparsons@brown.org,46,Port Deborahfort,OR,2025-01-16,4839.57,19,Crédito,3,True
58,Douglas Allen,travisbarrett@carter.com,52,East Amanda,LA,2025-01-08,589.8,6,Pix,2,False
59,Heather Roberts,stephensonchristine@hotmail.com,18,Kennedyfurt,WI,2024-12-13,294.29,15,Pix,5,False
60,Travis Schultz,beverlysmith@yahoo.com,18,Lake Richard,OK,2024-05-24,2470.16,5,Crédito,5,True
61,Michelle Hughes,murphyjoshua@yahoo.com,54,New Andrewstad,CT,2024-10-06,2345.47,19,Pix,4,True
62,Matthew Smith,anne50@smith.biz,23,Aprilmouth,SD,2024-11-06,1252.79,5,Crédito,4,True
63,George Allen,bhall@marshall.org,56,South Mark,ND,2025-01-11,388.46,19,Crédito,3,True
64,Jamie Hutchinson,wongalexander@gmail.com,58,South Anthonyville,NJ,2024-10-19,706.84,16,Pix,5,True
65,Jennifer Morales,phillipharper@robinson.com,35,Vanessaton,DC,2024-04-18,4298.1,1,Boleto,4,False
66,Jennifer Bates,kvelasquez@yahoo.com,33,Richardville,MT,2024-12-15,2058.37,18,Crédito,4,True
67,Jeremy Green,crystal83@cain.biz,22,Lake Jacqueline,MS,2024-06-24,1968.85,6,Boleto,4,True
68,Joseph Freeman,monroejames@yahoo.com,59,Pierceville,TN,2024-05-18,207.67,12,Boleto,1,True
69,Nicole Henson,jasongonzalez@todd-rivera.com,60,Jamesfurt,AR,2024-05-30,1936.29,13,Pix,4,True
70,Eric Owens PhD,barbaraperry@landry.org,49,South Markchester,IA,2024-07-13,3341.88,6,Boleto,5,True
71,Robin Lopez,laurafloyd@yahoo.com,19,West Jeremy,NV,2025-01-25,3164.26,9,Boleto,4,False
72,Miss Angela Swanson DVM,annramos@hotmail.com,19,Gonzalezborough,ND,2024-10-17,4578.56,15,Boleto,4,False
73,Michael Stewart,schneideralicia@gmail.com,57,Adamfurt,MO,2024-08-03,3391.79,17,Boleto,3,True
74,Mitchell Smith,uwalker@gmail.com,59,Nunezhaven,WA,2024-11-21,1688.01,17,Crédito,4,False
75,Kelsey Davis,nicholeturner@wilson-harvey.net,53,Hamiltonmouth,NJ,2024-11-12,1649.48,11,Pix,1,True
76,Matthew Russo,wscott@taylor-robertson.info,56,Josephburgh,AK,2024-11-04,4183.25,6,Pix,3,False
77,William Garcia,xhensley@gmail.com,29,Port Destiny,VA,2024-06-06,3901.44,24,Pix,5,False
78,Jennifer Miller,james14@watson-carter.com,64,North Patrick,AZ,2024-12-29,1477.65,16,Crédito,3,True
79,Jesse Sparks,justin53@krause.com,36,Mcconnellborough,MN,2024-12-15,3598.24,4,Crédito,3,True
80,Brandi Meyer,nicholsjohn@gmail.com,45,Jillfurt,IA,2024-04-01,2851.73,7,Débito,4,True
81,Hannah Wiggins,ijohnson@hotmail.com,18,East Cynthia,FL,2024-07-23,2058.33,17,Crédito,4,True
82,Albert Williams,qcohen@harris.com,32,East Jamesland,NH,2024-12-22,2701.21,19,Crédito,2,True
83,Kristin Potts,harry14@hotmail.com,53,Michaelburgh,WA,2024-09-06,517.64,17,Boleto,1,True
84,Susan Williams,toddphillips@hotmail.com,30,South Ashleychester,WI,2024-07-06,3361.82,11,Crédito,5,False
85,Meredith Rios,woodsjames@adams-murphy.com,60,Yoderberg,KY,2024-07-14,245.21,16,Débito,4,True
86,Stephanie Bowman,wmontoya@anderson.info,38,Garciabury,AR,2024-09-29,4457.51,22,Débito,4,False
87,Joshua Clark,timothy40@yahoo.com,29,Kimtown,ME,2024-09-15,3442.38,2,Boleto,2,True
88,Alexa Hernandez,ewatkins@melton.com,22,Ericside,DC,2024-09-12,4467.44,24,Crédito,3,True
89,Richard Higgins,lmcmahon@hooper-blankenship.org,24,Wilkinsville,CO,2024-08-18,105.92,11,Crédito,3,True
90,Marc Williams,aandersen@richardson.com,22,Samuelchester,SD,2024-04-16,4692.37,13,Pix,4,True
91,William Roberts,kennethwashington@reynolds.org,65,Heidiport,MT,2024-04-22,4795.71,20,Crédito,5,True
92,Joshua Carter,howard05@garcia.org,21,Osborntown,MO,2024-05-14,4001.97,3,Boleto,5,True
93,David Williams,navarropatricia@fitzgerald.net,30,Kathleenhaven,IA,2024-10-20,4961.16,20,Pix,1,True
94,Joseph Jones,matthew91@gmail.com,54,New Melissaview,CO,2025-01-17,1840.6,19,Crédito,2,True
95,Gary Perry,tgreen@robinson-chapman.com,58,North Jennifer,KY,2025-01-31,4256.87,20,Pix,5,True
96,Terry Wells,prattshannon@gmail.com,32,Ayalaland,WV,2024-05-04,3876.31,8,Débito,1,True
97,Vanessa Cooper,gonzalesjeanne@king-smith.com,33,Bradleyhaven,SC,2024-06-20,3630.58,8,Boleto,5,True
98,Michael Simmons,jessica56@smith.org,38,East Joel,HI,2024-04-11,3203.73,2,Débito,4,True
99,Nicholas Kline,bleon@hotmail.com,53,Floresview,OR,2024-10-13,1606.14,13,Crédito,1,True
100,Lori Bennett,andrew21@williams.com,41,East Cherylhaven,GA,2024-12-16,2732.67,21,Débito,4,False
101,Margaret Jones,john91@contreras.com,33,Cameronbury,TX,2024-11-09,1445.42,13,Débito,3,True
102,Paul Brown,murraycynthia@lewis-swanson.info,31,Jacobmouth,VA,2025-02-28,142.58,23,Pix,4,False
103,James Stone,michellejackson@lozano.com,39,West Deborahmouth,WV,2024-05-03,222.23,8,Boleto,2,True
104,John Richards,kscott@doyle-herrera.info,66,New Markshire,ME,2024-04-25,807.0,13,Boleto,4,True
105,Jenny Richardson,davidlewis@garcia.com,67,Denisemouth,CT,2024-08-30,2617.42,17,Débito,2,True
106,Debbie Waters MD,cchavez@smith-jensen.net,23,Port Virginiamouth,NH,2024-08-10,1191.02,17,Crédito,3,True
107,Austin Boyer,davidevans@yahoo.com,59,Williamsberg,DC,2024-04-30,1910.5,7,Crédito,4,True
108,Stephanie Hayes,ellisashley@yahoo.com,53,Thompsonville,NJ,2025-02-21,370.03,5,Débito,2,True
109,Barbara Sanders,joann59@hotmail.com,18,East Randychester,ND,2024-08-04,4564.87,14,Crédito,3,True
110,Andrew Gould,shannon19@yahoo.com,49,West Katiehaven,IA,2024-09-22,4436.26,21,Débito,1,True
111,Charles Gonzalez,moranmichelle@hotmail.com,23,Taylorfort,LA,2024-11-12,4496.66,13,Boleto,4,True
112,Joshua Hernandez,randallwendy@wall-garcia.com,48,Port Christinefurt,TN,2024-08-16,1727.74,22,Crédito,2,False
113,Victoria Hernandez MD,smithkaitlyn@black.info,18,Howardchester,MD,2024-11-30,3593.34,2,Pix,5,False
114,Sherry Simpson,meredith84@gonzalez-garner.org,67,Johnsonmouth,UT,2024-09-20,2192.02,19,Débito,4,True
115,Erica Jimenez,aparker@hotmail.com,68,Besttown,RI,2024-06-09,1578.29,7,Crédito,2,True
116,Mr. Dakota Lynch II,petersonchristopher@yahoo.com,54,Karaburgh,AK,2024-12-16,445.01,3,Pix,1,True
117,Victor Nolan,lisa49@hotmail.com,52,Martinmouth,UT,2024-10-13,2167.04,15,Boleto,2,False
118,Amanda Hernandez,andreagibson@alvarez-miller.com,66,Davidfurt,VA,2025-03-05,2002.77,14,Débito,2,False
119,Richard Kirby,michael55@reyes.com,47,Beardton,MD,2024-04-04,885.93,6,Crédito,4,True
120,Michelle Roman,gwilliams@yahoo.com,21,Floresshire,TX,2024-12-24,1816.02,14,Boleto,2,True
121,Bradley Melton,katherine51@yahoo.com,52,Reidmouth,NV,2024-12-29,568.54,22,Débito,4,True
122,Danny Williams,lguerra@nolan-phillips.com,60,Port Yolanda,MI,2025-02-15,4368.4,12,Pix,1,True
123,Ryan Rivera,griffinjohn@gmail.com,31,Port Richard,LA,2024-08-20,3371.21,6,Débito,3,False
124,Charles Douglas,jameslaura@hancock.com,66,Port Michaelbury,RI,2024-09-12,1044.32,18,Boleto,2,True
125,Kathy Santana,jason27@gmail.com,57,West Anthonyhaven,CT,2025-02-04,4598.65,13,Pix,5,True
126,Laura Gregory,bakerderrick@gmail.com,39,Karenhaven,NC,2024-06-10,2940.44,21,Pix,2,True
127,Norma Mooney,xwarren@hotmail.com,27,Bradyside,VA,2024-07-16,2333.9,7,Boleto,2,False
128,Susan Harris,cookbreanna@yahoo.com,18,Nelsonchester,AL,2024-09-28,3247.52,16,Crédito,4,True
129,Linda Petersen,brandonmeyer@yahoo.com,28,Lake Clintonburgh,GA,2024-11-29,1344.72,10,Pix,3,True
130,Dr. James Willis,hflores@baldwin.net,68,Michellestad,NV,2025-01-28,2800.29,11,Pix,4,True
131,Rebecca Sandoval,wilkinsamber@hernandez-baldwin.org,61,Wilsonville,GA,2024-10-01,746.33,9,Crédito,4,True
132,Christopher Hunter,chamilton@yahoo.com,41,Port Kevinburgh,PA,2024-09-17,1082.53,17,Pix,1,True
133,Austin Heath,wardemma@peterson.com,20,Hernandezbury,VA,2024-08-11,2618.87,6,Crédito,5,True
134,Elizabeth Russell,wendygeorge@martin.com,52,Gregoryhaven,RI,2024-04-03,577.72,7,Boleto,5,False
135,Amy Davidson,tayloramy@price-wood.com,53,Catherineton,MO,2024-08-19,4274.08,17,Boleto,5,True
136,Dustin Greer,briannasmith@peterson-downs.com,48,Princeville,OK,2024-06-15,2038.16,7,Crédito,5,False
137,Andrew Butler,ortizmichael@hotmail.com,21,East Michael,SD,2024-03-28,1242.08,17,Pix,4,True
138,Scott Love DDS,jasonwarren@hotmail.com,36,East Natasha,TN,2025-01-24,2968.62,7,Débito,5,False
139,William Jenkins,floresbrandi@oliver.info,64,Kelseymouth,WV,2024-07-07,3759.5,24,Pix,3,True
140,Jasmine Williams,alopez@yahoo.com,53,Shaunmouth,NH,2024-12-29,3084.04,2,Débito,5,False
141,Christian Johnson,edward25@townsend-brooks.com,38,North Christopherview,MN,2024-10-05,2937.15,16,Pix,3,True
142,Lorraine Garcia,lori63@gmail.com,35,Ryanland,WI,2024-05-25,933.49,2,Boleto,4,False
143,Hannah Reyes,briddle@flynn.com,68,Tammybury,PA,2024-11-15,3463.17,22,Crédito,3,True
144,Katherine Ibarra,alexandertanya@stokes.biz,45,Mitchellstad,NM,2024-08-15,4886.33,15,Pix,4,True
145,Julie Chen,ryanpitts@hotmail.com,32,Brianmouth,NY,2024-09-01,3082.11,1,Crédito,3,True
146,Caleb Fleming,fmendez@greene-mcgrath.biz,59,West John,NY,2024-08-06,1709.06,23,Débito,3,False
147,Rachel Martinez,gregory51@dean.com,19,Meganmouth,CT,2024-07-09,4033.19,5,Pix,4,True
148,Rebecca Stark,andrew75@lin-romero.com,54,Mccoyview,NH,2025-03-21,4198.18,21,Débito,4,False
149,Melanie Patrick,henryderrick@gmail.com,28,Thomasfort,AK,2024-04-30,2134.87,21,Pix,1,False
150,Rachel Lopez,roycindy@hotmail.com,40,Robertville,NH,2024-07-13,2136.48,8,Crédito,3,True
151,Jill Sherman,walkerlaura@anderson-king.org,61,North Larrybury,FL,2024-07-06,4689.42,3,Crédito,4,False
152,Richard Jones,rachelprice@booth.info,58,New Anna,IL,2024-06-15,3638.7,18,Pix,3,True
153,Timothy Tucker,garnerrandy@cooper-salinas.com,29,North Tom,DC,2024-08-27,261.22,15,Débito,4,True
154,Theresa Estrada,randy93@yahoo.com,20,Robertstad,WV,2024-08-10,2187.14,5,Pix,5,False
155,Cindy Davis,tylerdavid@doyle.biz,69,Nathanmouth,OR,2025-03-01,560.08,10,Pix,5,False
156,Stacy Chan,hannah61@nelson-hernandez.com,34,Stephaniestad,AK,2024-08-04,4894.88,9,Pix,4,True
157,Jennifer Torres,frankclark@hotmail.com,50,South Anthonyhaven,MT,2025-01-09,2918.54,21,Débito,1,False
158,Jeffery Knight,garciawhitney@andrews-campbell.com,18,Jeffhaven,MN,2024-09-17,3254.02,21,Boleto,5,False
159,Taylor Perry,daniel45@hotmail.com,56,South Phillip,PA,2024-09-19,1885.87,24,Pix,5,True
160,Raymond Navarro,yusharon@gmail.com,37,South Emily,PA,2024-06-25,3371.8,17,Boleto,2,True
161,Jeremy Parks,jessica97@wu-matthews.com,64,Ericborough,WA,2024-09-30,2902.03,8,Crédito,4,True
162,Thomas Rivers,qhenderson@watkins.net,60,New Mary,AR,2024-05-26,3895.95,12,Pix,2,True
163,Angela Jones,billymartinez@yahoo.com,69,Howellside,WV,2024-09-01,4510.5,11,Pix,2,False
164,Allen Bailey,lisa89@ross.com,58,Port Kathleenview,VA,2024-07-12,2081.1,14,Crédito,3,True
165,William Fuentes,marcuspeters@williams.com,31,Ortizport,WA,2024-04-19,4487.19,16,Boleto,3,False
166,Steven Clark,nicolehudson@hotmail.com,48,East Douglas,FL,2024-09-14,418.9,10,Pix,4,False
167,Michael Mays,fclark@villa.com,42,West Nicholasview,ME,2024-07-27,3458.84,6,Débito,2,True
168,Adam Wood,jasoncharles@gonzalez-harris.net,20,North Leeton,LA,2024-05-18,1232.24,3,Boleto,5,True
169,Larry Villarreal,nespinoza@hotmail.com,21,East Stephaniebury,NV,2025-02-28,2740.46,7,Boleto,2,True
170,Brian Cooper,melissa54@hall.org,48,Millerview,AK,2024-12-13,3887.87,10,Pix,4,True
171,Beverly Levy,ryan10@murphy.org,52,Port Pamela,MA,2024-10-16,3758.26,14,Débito,2,True
172,John Carter,allenkristin@hotmail.com,61,Port Williamburgh,TN,2025-01-10,3635.01,6,Boleto,4,True
173,Tina Fields,myersedward@walker-young.com,31,Smithmouth,AR,2024-05-03,2466.17,7,Pix,4,False
174,Willie Garcia,jwoods@coleman.com,66,Ginamouth,ID,2024-07-06,1050.71,22,Boleto,4,False
175,Brooke Hurst,gregg41@hayes-david.info,58,Navarromouth,IN,2025-02-14,1107.27,4,Pix,3,True
176,Regina Stewart,clee@hotmail.com,26,New Brendaborough,VA,2024-05-19,2723.79,12,Pix,5,True
177,Paul Carter,marisapowell@baker-jackson.org,37,South George,NY,2025-01-16,2245.29,11,Débito,3,True
178,Angel Anderson,yatescharlotte@yahoo.com,49,Johnsonshire,KY,2024-10-30,4877.45,12,Crédito,5,True
179,Blake Jones,torresmolly@gmail.com,26,Kingbury,OK,2025-01-20,1574.04,15,Boleto,4,False
180,Juan Yang,keithedwards@yahoo.com,44,South Robertton,FL,2024-07-06,486.95,20,Boleto,3,True
181,Jay Walsh,wpennington@armstrong.net,20,Lewischester,NC,2024-05-23,3661.7,12,Boleto,3,True
182,Jeremy Wood,brownstephanie@chavez-schneider.net,21,South Jeffreyland,MI,2024-07-31,4879.58,17,Boleto,5,True
183,Amy Ortiz,fisherlaura@gmail.com,62,Lake Chadland,DC,2024-06-25,3932.24,4,Boleto,2,True
184,Nicholas Flores,browndesiree@hotmail.com,32,North Annport,KY,2024-09-12,1310.52,21,Boleto,2,True
185,Edward Ruiz,mcdowellalicia@flowers.com,50,South John,MA,2025-03-16,279.15,18,Pix,4,True
186,Rebecca Hill,gclayton@white.net,22,West Catherine,WY,2024-09-12,2093.92,17,Pix,5,True
187,Melissa Flynn,timothyjacobs@ross-williams.net,21,Jenniferview,CO,2025-01-03,4400.98,11,Pix,3,True
188,James Saunders,wigginsdavid@hotmail.com,63,Rodriguezville,MD,2025-02-08,2216.77,10,Crédito,4,True
189,David Chavez,sanchezmorgan@gmail.com,29,Wrightport,ME,2024-06-27,1492.02,4,Boleto,4,True
190,Brenda Ford,fbrennan@scott-burnett.net,40,West Thomas,TN,2024-04-30,4682.98,20,Pix,4,True
191,Karen Harris,fmoore@berry.biz,31,Lake Tyler,NC,2024-07-13,3884.1,16,Débito,4,True
192,Michael Montgomery,zcarlson@yahoo.com,63,Jamestown,NM,2024-07-29,3093.83,5,Boleto,5,True
193,Edwin Mack,meganevans@hotmail.com,29,West Angela,MN,2024-04-01,113.12,7,Boleto,3,True
194,Kimberly Moore,sandy43@hamilton.com,34,Melissaville,OR,2024-03-24,4664.37,22,Crédito,5,False
195,Kaitlin Gregory,turnerjames@ortiz.com,42,North Johnathan,WI,2024-11-05,3401.8,8,Débito,4,False
196,Crystal Gill,robertmarshall@gmail.com,47,Georgestad,KY,2024-04-01,1199.89,18,Débito,3,False
197,William Martinez,philip19@yahoo.com,39,Rachaelland,MN,2025-01-01,221.29,22,Crédito,3,True
198,Amanda Scott,mercerdanielle@hotmail.com,64,Vangton,OK,2024-09-21,136.59,24,Crédito,3,False
199,Lauren Foster,alan63@gmail.com,43,North Kathleentown,GA,2024-07-29,4644.27,13,Pix,5,True
200,David Campbell,perrymason@brock-james.com,34,East Teresa,SC,2024-04-10,3496.45,7,Crédito,1,False
201,Susan Larson,solomonaustin@hotmail.com,37,West Dominiqueburgh,FL,2024-11-22,3555.22,12,Boleto,1,True
202,Ricky Torres,rachelhardy@taylor-carter.info,51,North Ashleyville,LA,2024-08-23,3020.72,12,Débito,3,True
203,Joseph Wright,adamschristine@taylor.com,58,Lake Alicia,WI,2025-03-15,2732.45,23,Pix,4,False
204,Carla Perry,kevin80@yahoo.com,50,Feliciaton,AK,2024-03-26,2332.33,15,Crédito,5,True
205,Joseph Berry,benjaminvaldez@gmail.com,54,West Tracyton,WI,2024-04-08,3040.95,12,Débito,4,True
206,Kim Jenkins,christopher50@hotmail.com,24,South Stephaniestad,MN,2024-04-10,3305.0,7,Crédito,1,True
207,Jennifer Osborne,jonathanbennett@yahoo.com,39,Finleyburgh,MA,2024-04-18,1927.89,14,Pix,1,True
208,Ebony Watson,nmartin@hotmail.com,49,East Aprilfort,OH,2024-04-26,3374.35,14,Boleto,2,True
209,Brooke Terry,millscourtney@sweeney.com,31,Port Amber,MA,2024-12-25,2338.73,18,Débito,4,False
210,Kevin Taylor,joanbrown@hotmail.com,25,North Nicolemouth,HI,2024-07-10,516.83,9,Crédito,3,True
211,Heather Kennedy,eatonsusan@hotmail.com,42,North Brandi,WY,2024-08-01,1242.55,5,Pix,4,True
212,John Neal,stevensandrew@wright-strong.com,33,East Meredith,ID,2024-04-09,498.72,19,Boleto,1,True
213,Matthew Brown,russellmarquez@schaefer.org,59,Jeffreyshire,WI,2025-02-01,1677.88,17,Crédito,4,False
214,Patrick Williams,hallashley@fischer.org,36,Justinland,PA,2024-07-22,3095.5,3,Boleto,4,False
215,Allison Ruiz,alicia52@gmail.com,58,Changhaven,CA,2024-12-13,1901.37,9,Boleto,4,True
216,Alexandra Rose,colonconnor@gmail.com,33,Hallton,CA,2025-02-16,3658.51,12,Pix,5,True
217,Sean Parks,robert84@bell.com,29,Lake Randyshire,OH,2025-02-24,3422.49,16,Débito,3,False
218,Maureen Smith,hstanley@mckenzie.com,56,Wagnershire,IN,2025-03-20,808.99,20,Débito,4,False
219,Marc Key,patricklopez@hotmail.com,65,Brooksborough,NM,2024-10-13,923.41,24,Crédito,2,False
220,Melissa Acosta,ronald42@dickson.info,47,Port Crystalborough,MO,2024-04-11,415.73,16,Débito,4,True
221,Paul Roberts,annflynn@hotmail.com,19,Katrinabury,NM,2025-01-02,1395.23,14,Crédito,2,False
222,Joel Rivera,seancummings@ortiz.com,49,Morganburgh,AL,2024-12-23,1806.95,15,Crédito,4,False
223,Javier Prince,josephpalmer@hotmail.com,62,Port Brittany,PA,2024-07-20,532.42,15,Débito,3,True
224,Jermaine Fletcher,manderson@hotmail.com,42,Javierfurt,HI,2024-06-22,3050.92,19,Crédito,1,False
225,Beverly Lozano,shanesmith@yahoo.com,42,Susanstad,NC,2024-12-17,3600.44,15,Boleto,3,True
226,Richard Price,schwartzerica@yahoo.com,21,Kendratown,OK,2024-08-19,870.39,14,Crédito,4,True
227,Jean Robinson,nancyadams@yahoo.com,36,North Whitneyshire,WV,2025-03-12,1776.47,2,Débito,5,True
228,Todd Willis,jennifermurphy@hotmail.com,65,Wolfehaven,SD,2025-03-15,3663.52,5,Boleto,4,False
229,James Young,ybaxter@rivera-lee.com,21,East Joe,VT,2024-05-20,3350.26,21,Pix,4,True
230,Cody Brown,nmueller@martin-lopez.com,60,Jamesville,AZ,2024-08-07,4286.85,11,Crédito,3,True
231,Carrie Bishop,carneyrandy@mccoy-johnson.org,30,South Stevenview,WI,2024-10-07,2817.56,21,Crédito,4,True
232,Michele Hunt,diana93@yahoo.com,56,Bakerchester,SD,2024-10-21,226.21,19,Crédito,5,False
233,Shawn Gomez,rrodriguez@hotmail.com,53,Bellhaven,PA,2025-01-19,380.87,5,Débito,5,True
234,Mark Black,wademichael@hotmail.com,40,West Josephland,CO,2024-12-14,492.3,9,Boleto,1,True
235,Tina Spears,howardsteven@collins.com,23,Montgomerystad,NJ,2024-12-29,2633.97,24,Pix,4,False
236,Lauren Henry,mathewscarrie@simpson.net,41,Annchester,GA,2025-01-17,3800.02,10,Débito,2,True
237,Cindy Adams,jmcmahon@gmail.com,61,North Thomas,CA,2024-12-25,258.14,15,Débito,5,True
238,Christopher Smith,heathconnie@hotmail.com,50,Port Larryburgh,MS,2024-10-13,2337.77,14,Débito,5,False
239,Brenda Buchanan,christophersaunders@hotmail.com,29,West Kelly,NJ,2025-02-09,4141.51,13,Pix,5,True
240,Tracy Sanders,tharvey@yahoo.com,58,Maryport,OR,2024-04-10,3376.17,15,Débito,3,True
